level,name,id,desc,alert,show,icon
1,活动,5,需xx级开启,,0,
1,铁匠铺,15,需通关副本“[虎牢关上]”开启，可强化装备，大幅提升战斗力,,0,
1,进击的魔神,27,需xx级开启,进击的魔神,0,
1,主角时装,29,需xx级开启,进击的魔神,0,
1,时装强化,31,需xx级开启,,0,
1,月签到,39,需xx级开启,每日登录可以领取不同奖励,0,images/recharge/btn_monthsign_n.png
1,至尊令,101,需xx级开启,,0,
5,商店,3,需xx级开启，可招募强力稀有武将,,0,
5,等级礼包,14,需xx级开启,等级越高更多好礼等你来拿！,1,images/switch/level_reward.png
8,每日任务,30,需xx级开启,完成每日任务可以获得任务奖励,1,images/main/sub_icons/everyday_n.png
9,装备强化,16,需xx级开启，可强化装备，大幅提升战斗力,强化装备可以大幅度提升战力,1,images/switch/forge.png
10,宝物强化,19,需xx级开启,,0,
10,夺宝,20,需xx级开启，可抢夺战马和兵书，提升战斗力,夺宝可获得宝物碎片合成宝物,1,images/switch/rob_treasure.png
13,签到,13,需xx级开启，每日签到领大量福利,每日登陆签到不同好礼等你来拿,1,images/switch/sign_in.png
14,竞技场,8,需xx级开启，可参加竞技场排名，获得声望兑换大量进阶丹和稀有道具,参加竞技可获得大量声望,1,images/switch/arena.png
14,称号,57,需xx级开启,称号不仅可用于展示个性，还带有属性提升哦！,2,images/main/sub_icons/title_n.png
16,武将炼化,21,需xx级开启，可炼化武将获得魂玉，使用魂玉可在神秘商店兑换稀有道具,在炼化炉炼化武将可获得魂玉,1,images/main/sub_icons/recycle_n.png
17,武将幻化,60,需xx级开启,激活幻化形象可获得大量属性！且在排行榜中开启幻化排行！,1,images/formation/turned_n.png
17,珍宝阁,103,需xx级开启,激活珍宝物品可以获得大量属性哦！,2,images/switch/zhenbao_n.png
18,将士,6,需xx级开启，收集将士增进好感，提高战斗力,向将士送礼提升好感等级可增加武将属性,1,images/switch/great_soldier.png
20,军团,23,需xx级开启，可创建或加入军团,可创建或加入军团,1,images/main/sub_icons/guild_n.png
20,资源追回,41,需xx级开启,,0,
22,天命系统,22,需xx级开启，可消耗副本星数大幅度提高主角属性,消耗副本星数大幅度提高主角属性,1,images/main/sub_icons/destiny_n.png
